plateifu,iauname,objra,objdec
10214-12702,J080813.58+343217.4,122.056621702,34.5382142602
10214-12703,J080528.11+355648.1,121.367176743,35.9466955876
10214-12704,J081007.99+351632.0,122.535492782,35.275267785
10214-12705,J080906.44+344329.0,122.2768863,34.7247236733
10214-1901,J080846.57+352613.0,122.194114188,35.4369387111
10214-1902,J080757.18+341338.4,121.988292284,34.2273271723
10214-3701,-9999,122.562291667,33.9553888889
10214-3702,J080300.88+350932.8,120.75370272,35.1591455551
10214-3703,J081141.12+360656.8,122.921386026,36.1157754382
10214-3704,J081437.89+342959.3,123.657888722,34.4998105102
10214-6101,J081214.82+350925.3,123.061819419,35.1571384443
10214-6102,J081121.85+343453.9,122.841078941,34.5816625567
10214-6103,J080332.41+345756.1,120.885107167,34.9655998133
10214-6104,J081222.12+361701.1,123.092211293,36.2836131709
10214-9101,J080344.49+352034.3,120.935390177,35.3428778906
10214-9102,J080746.16+344637.7,121.942383602,34.7771614059
10215-12701,J080712.18+381522.8,121.800741247,38.2563612267
10215-12702,J080551.88+373050.7,121.466201503,37.5140925477
10215-12703,J080831.35+373511.6,122.130636583,37.5865756841
10215-12704,J081347.49+370258.9,123.448616143,37.0503815874
10215-12705,J081156.27+362527.3,122.984477119,36.4242678945
10215-1901,J080828.36+380906.6,122.118199278,38.1518625278
10215-1902,J081525.77+372025.8,123.857378368,37.3405186037
10215-3701,J080809.59+375516.7,122.040031781,37.9213571348
10215-3702,J080528.82+373328.2,121.370110164,37.557853221
10215-3703,J080912.77+380103.6,122.303250785,38.0177069537
10215-3704,J080827.23+365014.6,122.11350534,36.8374284802
10215-6101,J081300.81+363158.8,123.253441576,36.5330040267
10215-6102,J081056.11+364945.6,122.734117936,36.828123263
10215-6103,J080917.57+382012.9,122.323241339,38.3369384918
10215-6104,J081435.51+383301.2,123.647988384,38.5503483448
10215-9101,J080614.67+373825.7,121.561209049,37.6405216725
10215-9102,J080933.78+365906.7,122.390684521,36.9852665635
10216-12701,J075354.29+165712.1,118.476258864,16.9533603239
10216-12702,J075255.22+170100.3,118.230122563,17.0168029767
10216-12703,J075429.41+174203.7,118.62259747,17.7010718242
10216-12704,J075238.95+181917.7,118.16230011,18.3216056824
10216-12705,J075134.62+163716.6,117.894285161,16.621269888
10216-1901,J074809.18+183414.4,117.038289628,18.5706939566
10216-1902,J074704.14+180818.0,116.767280449,18.1383425062
10216-3701,J074844.85+175757.8,117.186922861,17.966051805
10216-3702,J074800.77+183719.7,117.003225435,18.622145951
10216-3703,J074822.73+183010.4,117.094733328,18.5028826591
10216-3704,J074857.48+173437.5,117.23952599,17.5771207096
10216-6101,J075048.10+162321.7,117.700436207,16.3893864476
10216-6102,J074655.25+182856.5,116.730202777,18.482375517
10216-6103,J074523.17+181411.7,116.346578955,18.2366261774
10216-6104,J074943.85+185506.9,117.43276891,18.9185959989
10216-9101,J074641.45+184405.3,116.67274471,18.7348410457
10216-9102,J074547.22+181845.2,116.446792381,18.312577531
10217-12701,J075200.65+154530.6,118.002740625,15.7585152922
10217-12702,J075312.08+151429.0,118.300437995,15.2413143621
10217-12703,-9999,119.85175,16.4189444444
10217-12704,-9999,119.917160034,15.3868169785
10217-12705,J075801.33+144209.4,119.505587809,14.7026287414
10217-1901,J075616.38+151424.2,119.06828621,15.2400782037
10217-1902,J075447.84+143955.5,118.699364685,14.6654215753
10217-3701,J075446.36+142133.8,118.693207358,14.3594231641
10217-3702,J075405.25+143712.0,118.521918682,14.6200482639
10217-3703,J075710.37+143931.4,119.293209673,14.65876405
10217-3704,J075334.95+142823.9,118.395673439,14.4733243477
10217-6101,J075056.40+144604.1,117.735046075,14.7678282599
10217-6102,J075248.52+151831.9,118.202222407,15.308880164
10217-6103,J075158.32+154241.0,117.993013365,15.7114103805
10217-6104,J075800.94+145700.7,119.503945958,14.9502274395
10217-9101,J075519.54+142501.5,118.831445476,14.4171184641
10217-9102,J075522.60+150540.9,118.843822108,15.0938929519
10218-12701,J075125.86+163606.6,117.857788969,16.6018406215
